Key,English,Japanese
perkUTQI_gunHandgunT2Magnum44_q3,.44 Magnum (Q3) ,.44マグナム (品質3)
perkUTQI_gunHandgunT2Magnum44_q4,.44 Magnum (Q4) ,.44マグナム (品質4)
perkUTQI_gunHandgunT2Magnum44_q5,.44 Magnum (Q5) ,.44マグナム (品質5)
perkUTQI_gunHandgunT2Magnum44_q6,.44 Magnum (Q6) ,.44マグナム (品質6)
perkUTQI_gunHandgunT3DesertVulture_q2,.44 Desert Vulture (Q2) ,.44 デザートヴァルチャー (品質2)
perkUTQI_gunHandgunT3DesertVulture_q3,.44 Desert Vulture (Q3) ,.44 デザートヴァルチャー (品質3)
perkUTQI_gunHandgunT3DesertVulture_q4,.44 Desert Vulture (Q4) ,.44 デザートヴァルチャー (品質4)
perkUTQI_gunHandgunT3DesertVulture_q5,.44 Desert Vulture (Q5) ,.44 デザートヴァルチャー (品質5)
perkUTQI_gunHandgunT3DesertVulture_q6,.44 Desert Vulture (Q6) ,.44 デザートヴァルチャー (品質6)
perkUTQI_gunHandgunT3SMG5_q2,SMG-5 (Q2) ,SMG-5 (品質2)
perkUTQI_gunHandgunT3SMG5_q3,SMG-5 (Q3) ,SMG-5 (品質3)
perkUTQI_gunHandgunT3SMG5_q4,SMG-5 (Q4) ,SMG-5 (品質4)
perkUTQI_gunHandgunT3SMG5_q5,SMG-5 (Q5) ,SMG-5 (品質5)
perkUTQI_gunHandgunT3SMG5_q6,SMG-5 (Q6) ,SMG-5 (品質6)
perkUTQI_gunMGT0PipeMachineGun_q2,Pipe Machine Gun (Q2) ,パイプマシンガン (品質2)
perkUTQI_gunMGT0PipeMachineGun_q3,Pipe Machine Gun (Q3) ,パイプマシンガン (品質3)
perkUTQI_gunMGT0PipeMachineGun_q4,Pipe Machine Gun (Q4) ,パイプマシンガン (品質4)
perkUTQI_gunMGT0PipeMachineGun_q5,Pipe Machine Gun (Q5) ,パイプマシンガン (品質5)
perkUTQI_gunMGT0PipeMachineGun_q6,Pipe Machine Gun (Q6) ,パイプマシンガン (品質6)
perkUTQI_gunMGT1AK47_q2,AK-47 Machine Gun (Q2) ,AK-47マシンガン (品質2)
perkUTQI_gunMGT1AK47_q3,AK-47 Machine Gun (Q3) ,AK-47マシンガン (品質3)
perkUTQI_gunMGT1AK47_q4,AK-47 Machine Gun (Q4) ,AK-47マシンガン (品質4)
perkUTQI_gunMGT1AK47_q5,AK-47 Machine Gun (Q5) ,AK-47マシンガン (品質5)
perkUTQI_gunMGT1AK47_q6,AK-47 Machine Gun (Q6) ,AK-47マシンガン (品質6)
perkUTQI_gunMGT2TacticalAR_q2,Tactical Assault Rifle (Q2) ,タクティカルアサルトライフル (品質2)
perkUTQI_gunMGT2TacticalAR_q3,Tactical Assault Rifle (Q3) ,タクティカルアサルトライフル (品質3)
perkUTQI_gunMGT2TacticalAR_q4,Tactical Assault Rifle (Q4) ,タクティカルアサルトライフル (品質4)
perkUTQI_gunMGT2TacticalAR_q5,Tactical Assault Rifle (Q5) ,タクティカルアサルトライフル (品質5)
perkUTQI_gunMGT2TacticalAR_q6,Tactical Assault Rifle (Q6) ,タクティカルアサルトライフル (品質6)
perkUTQI_gunMGT3M60_q2,M60 Machine Gun (Q2) ,M60マシンガン (品質2)
perkUTQI_gunMGT3M60_q3,M60 Machine Gun (Q3) ,M60マシンガン (品質3)
perkUTQI_gunMGT3M60_q4,M60 Machine Gun (Q4) ,M60マシンガン (品質4)
perkUTQI_gunMGT3M60_q5,M60 Machine Gun (Q5) ,M60マシンガン (品質5)
perkUTQI_gunMGT3M60_q6,M60 Machine Gun (Q6) ,M60マシンガン (品質6)
perkUTQI_gunRifleT0PipeRifle_q2,Pipe Rifle (Q2) ,パイプライフル (品質2)
perkUTQI_gunRifleT0PipeRifle_q3,Pipe Rifle (Q3) ,パイプライフル (品質3)
perkUTQI_gunRifleT0PipeRifle_q4,Pipe Rifle (Q4) ,パイプライフル (品質4)
perkUTQI_gunRifleT0PipeRifle_q5,Pipe Rifle (Q5) ,パイプライフル (品質5)
perkUTQI_gunRifleT0PipeRifle_q6,Pipe Rifle (Q6) ,パイプライフル (品質6)
perkUTQI_gunRifleT1HuntingRifle_q2,Hunting Rifle (Q2) ,狩猟ライフル (品質2)
perkUTQI_gunRifleT1HuntingRifle_q3,Hunting Rifle (Q3) ,狩猟ライフル (品質3)
perkUTQI_gunRifleT1HuntingRifle_q4,Hunting Rifle (Q4) ,狩猟ライフル (品質4)
perkUTQI_gunRifleT1HuntingRifle_q5,Hunting Rifle (Q5) ,狩猟ライフル (品質5)
perkUTQI_gunRifleT1HuntingRifle_q6,Hunting Rifle (Q6) ,狩猟ライフル (品質6)
perkUTQI_gunRifleT2LeverActionRifle_q2,Lever Action Rifle (Q2) ,レバーアクションライフル (品質2)
perkUTQI_gunRifleT2LeverActionRifle_q3,Lever Action Rifle (Q3) ,レバーアクションライフル (品質3)
perkUTQI_gunRifleT2LeverActionRifle_q4,Lever Action Rifle (Q4) ,レバーアクションライフル (品質4)
perkUTQI_gunRifleT2LeverActionRifle_q5,Lever Action Rifle (Q5) ,レバーアクションライフル (品質5)
perkUTQI_gunRifleT2LeverActionRifle_q6,Lever Action Rifle (Q6) ,レバーアクションライフル (品質6)
perkUTQI_gunRifleT3SniperRifle_q2,Sniper Rifle (Q2) ,スナイパーライフル (品質2)
perkUTQI_gunRifleT3SniperRifle_q3,Sniper Rifle (Q3) ,スナイパーライフル (品質3)
perkUTQI_gunRifleT3SniperRifle_q4,Sniper Rifle (Q4) ,スナイパーライフル (品質4)
perkUTQI_gunRifleT3SniperRifle_q5,Sniper Rifle (Q5) ,スナイパーライフル (品質5)
perkUTQI_gunRifleT3SniperRifle_q6,Sniper Rifle (Q6) ,スナイパーライフル (品質6)
perkUTQI_gunShotgunT0PipeShotgun_q2,Pipe Shotgun (Q2) ,パイプショットガン (品質2)
perkUTQI_gunShotgunT0PipeShotgun_q3,Pipe Shotgun (Q3) ,パイプショットガン (品質3)
perkUTQI_gunShotgunT0PipeShotgun_q4,Pipe Shotgun (Q4) ,パイプショットガン (品質4)
perkUTQI_gunShotgunT0PipeShotgun_q5,Pipe Shotgun (Q5) ,パイプショットガン (品質5)
perkUTQI_gunShotgunT0PipeShotgun_q6,Pipe Shotgun (Q6) ,パイプショットガン (品質6)
perkUTQI_gunShotgunT1DoubleBarrel_q2,Double Barrel Shotgun (Q2) ,2連ショットガン (品質2)
perkUTQI_gunShotgunT1DoubleBarrel_q3,Double Barrel Shotgun (Q3) ,2連ショットガン (品質3)
perkUTQI_gunShotgunT1DoubleBarrel_q4,Double Barrel Shotgun (Q4) ,2連ショットガン (品質4)
perkUTQI_gunShotgunT1DoubleBarrel_q5,Double Barrel Shotgun (Q5) ,2連ショットガン (品質5)
perkUTQI_gunShotgunT1DoubleBarrel_q6,Double Barrel Shotgun (Q6) ,2連ショットガン (品質6)
perkUTQI_gunShotgunT2PumpShotgun_q2,Pump Shotgun (Q2) ,ポンプアクション式ショットガン (品質2)
perkUTQI_gunShotgunT2PumpShotgun_q3,Pump Shotgun (Q3) ,ポンプアクション式ショットガン (品質3)
perkUTQI_gunShotgunT2PumpShotgun_q4,Pump Shotgun (Q4) ,ポンプアクション式ショットガン (品質4)
perkUTQI_gunShotgunT2PumpShotgun_q5,Pump Shotgun (Q5) ,ポンプアクション式ショットガン (品質5)
perkUTQI_gunShotgunT2PumpShotgun_q6,Pump Shotgun (Q6) ,ポンプアクション式ショットガン (品質6)
perkUTQI_gunShotgunT3AutoShotgun_q2,Auto Shotgun (Q2) ,オートショットガン (品質2)
perkUTQI_gunShotgunT3AutoShotgun_q3,Auto Shotgun (Q3) ,オートショットガン (品質3)
perkUTQI_gunShotgunT3AutoShotgun_q4,Auto Shotgun (Q4) ,オートショットガン (品質4)
perkUTQI_gunShotgunT3AutoShotgun_q5,Auto Shotgun (Q5) ,オートショットガン (品質5)
perkUTQI_gunShotgunT3AutoShotgun_q6,Auto Shotgun (Q6) ,オートショットガン (品質6)
perkUTQI_meleeToolAxeT1IronFireaxe_q2,Iron Fireaxe (Q2) ,鉄製消防斧 (品質2)
perkUTQI_meleeToolAxeT1IronFireaxe_q3,Iron Fireaxe (Q3) ,鉄製消防斧 (品質3)
perkUTQI_meleeToolAxeT1IronFireaxe_q4,Iron Fireaxe (Q4) ,鉄製消防斧 (品質4)
perkUTQI_meleeToolAxeT1IronFireaxe_q5,Iron Fireaxe (Q5) ,鉄製消防斧 (品質5)
perkUTQI_meleeToolAxeT1IronFireaxe_q6,Iron Fireaxe (Q6) ,鉄製消防斧 (品質6)
perkUTQI_meleeToolAxeT2SteelAxe_q2,Steel Axe (Q2) ,鉄鋼斧 (品質2)
perkUTQI_meleeToolAxeT2SteelAxe_q3,Steel Axe (Q3) ,鉄鋼斧 (品質3)
perkUTQI_meleeToolAxeT2SteelAxe_q4,Steel Axe (Q4) ,鉄鋼斧 (品質4)
perkUTQI_meleeToolAxeT2SteelAxe_q5,Steel Axe (Q5) ,鉄鋼斧 (品質5)
perkUTQI_meleeToolAxeT2SteelAxe_q6,Steel Axe (Q6) ,鉄鋼斧 (品質6)
perkUTQI_meleeToolAxeT3Chainsaw_q2,Chainsaw (Q2) ,チェーンソー (品質2)
perkUTQI_meleeToolAxeT3Chainsaw_q3,Chainsaw (Q3) ,チェーンソー (品質3)
perkUTQI_meleeToolAxeT3Chainsaw_q4,Chainsaw (Q4) ,チェーンソー (品質4)
perkUTQI_meleeToolAxeT3Chainsaw_q5,Chainsaw (Q5) ,チェーンソー (品質5)
perkUTQI_meleeToolAxeT3Chainsaw_q6,Chainsaw (Q6) ,チェーンソー (品質6)
perkUTQI_meleeToolPickT1IronPickaxe_q2,Iron Pickaxe (Q2) ,鉄つるはし (品質2)
perkUTQI_meleeToolPickT1IronPickaxe_q3,Iron Pickaxe (Q3) ,鉄つるはし (品質3)
perkUTQI_meleeToolPickT1IronPickaxe_q4,Iron Pickaxe (Q4) ,鉄つるはし (品質4)
perkUTQI_meleeToolPickT1IronPickaxe_q5,Iron Pickaxe (Q5) ,鉄つるはし (品質5)
perkUTQI_meleeToolPickT1IronPickaxe_q6,Iron Pickaxe (Q6) ,鉄つるはし (品質6)
perkUTQI_meleeToolPickT2SteelPickaxe_q2,Steel Pickaxe (Q2) ,鉄鋼つるはし (品質2)
perkUTQI_meleeToolPickT2SteelPickaxe_q3,Steel Pickaxe (Q3) ,鉄鋼つるはし (品質3)
perkUTQI_meleeToolPickT2SteelPickaxe_q4,Steel Pickaxe (Q4) ,鉄鋼つるはし (品質4)
perkUTQI_meleeToolPickT2SteelPickaxe_q5,Steel Pickaxe (Q5) ,鉄鋼つるはし (品質5)
perkUTQI_meleeToolPickT2SteelPickaxe_q6,Steel Pickaxe (Q6) ,鉄鋼つるはし (品質6)
perkUTQI_meleeToolPickT3Auger_q2,Auger (Q2) ,オーガー (品質2)
perkUTQI_meleeToolPickT3Auger_q3,Auger (Q3) ,オーガー (品質3)
perkUTQI_meleeToolPickT3Auger_q4,Auger (Q4) ,オーガー (品質4)
perkUTQI_meleeToolPickT3Auger_q5,Auger (Q5) ,オーガー (品質5)
perkUTQI_meleeToolPickT3Auger_q6,Auger (Q6) ,オーガー (品質6)
perkUTQI_meleeToolRepairT0StoneAxe_q2,Stone Axe (Q2) ,石斧 (品質2)
perkUTQI_meleeToolRepairT0StoneAxe_q3,Stone Axe (Q3) ,石斧 (品質3)
perkUTQI_meleeToolRepairT0StoneAxe_q4,Stone Axe (Q4) ,石斧 (品質4)
perkUTQI_meleeToolRepairT0StoneAxe_q5,Stone Axe (Q5) ,石斧 (品質5)
perkUTQI_meleeToolRepairT0StoneAxe_q6,Stone Axe (Q6) ,石斧 (品質6)
perkUTQI_meleeToolRepairT1ClawHammer_q2,Claw Hammer (Q2) ,くぎ抜きハンマー (品質2)
perkUTQI_meleeToolRepairT1ClawHammer_q3,Claw Hammer (Q3) ,くぎ抜きハンマー (品質3)
perkUTQI_meleeToolRepairT1ClawHammer_q4,Claw Hammer (Q4) ,くぎ抜きハンマー (品質4)
perkUTQI_meleeToolRepairT1ClawHammer_q5,Claw Hammer (Q5) ,くぎ抜きハンマー (品質5)
perkUTQI_meleeToolRepairT1ClawHammer_q6,Claw Hammer (Q6) ,くぎ抜きハンマー (品質6)
perkUTQI_meleeToolRepairT3Nailgun_q2,Nailgun (Q2) ,ネイルガン (品質2)
perkUTQI_meleeToolRepairT3Nailgun_q3,Nailgun (Q3) ,ネイルガン (品質3)
perkUTQI_meleeToolRepairT3Nailgun_q4,Nailgun (Q4) ,ネイルガン (品質4)
perkUTQI_meleeToolRepairT3Nailgun_q5,Nailgun (Q5) ,ネイルガン (品質5)
perkUTQI_meleeToolRepairT3Nailgun_q6,Nailgun (Q6) ,ネイルガン (品質6)
perkUTQI_meleeToolSalvageT1Wrench_q2,Wrench (Q2) ,レンチ (品質2)
perkUTQI_meleeToolSalvageT1Wrench_q3,Wrench (Q3) ,レンチ (品質3)
perkUTQI_meleeToolSalvageT1Wrench_q4,Wrench (Q4) ,レンチ (品質4)
perkUTQI_meleeToolSalvageT1Wrench_q5,Wrench (Q5) ,レンチ (品質5)
perkUTQI_meleeToolSalvageT1Wrench_q6,Wrench (Q6) ,レンチ (品質6)
perkUTQI_meleeToolSalvageT2Ratchet_q2,Ratchet (Q2) ,ラチェット (品質2)
perkUTQI_meleeToolSalvageT2Ratchet_q3,Ratchet (Q3) ,ラチェット (品質3)
perkUTQI_meleeToolSalvageT2Ratchet_q4,Ratchet (Q4) ,ラチェット (品質4)
perkUTQI_meleeToolSalvageT2Ratchet_q5,Ratchet (Q5) ,ラチェット (品質5)
perkUTQI_meleeToolSalvageT2Ratchet_q6,Ratchet (Q6) ,ラチェット (品質6)
perkUTQI_meleeToolSalvageT3ImpactDriver_q2,Impact Driver (Q2) ,衝撃ドライバー (品質2)
perkUTQI_meleeToolSalvageT3ImpactDriver_q3,Impact Driver (Q3) ,衝撃ドライバー (品質3)
perkUTQI_meleeToolSalvageT3ImpactDriver_q4,Impact Driver (Q4) ,衝撃ドライバー (品質4)
perkUTQI_meleeToolSalvageT3ImpactDriver_q5,Impact Driver (Q5) ,衝撃ドライバー (品質5)
perkUTQI_meleeToolSalvageT3ImpactDriver_q6,Impact Driver (Q6) ,衝撃ドライバー (品質6)
perkUTQI_meleeToolShovelT0StoneShovel_q2,Stone Shovel (Q2) ,石ショベル (品質2)
perkUTQI_meleeToolShovelT0StoneShovel_q3,Stone Shovel (Q3) ,石ショベル (品質3)
perkUTQI_meleeToolShovelT0StoneShovel_q4,Stone Shovel (Q4) ,石ショベル (品質4)
perkUTQI_meleeToolShovelT0StoneShovel_q5,Stone Shovel (Q5) ,石ショベル (品質5)
perkUTQI_meleeToolShovelT0StoneShovel_q6,Stone Shovel (Q6) ,石ショベル (品質6)
perkUTQI_meleeToolShovelT1IronShovel_q2,Iron Shovel (Q2) ,鉄ショベル (品質2)
perkUTQI_meleeToolShovelT1IronShovel_q3,Iron Shovel (Q3) ,鉄ショベル (品質3)
perkUTQI_meleeToolShovelT1IronShovel_q4,Iron Shovel (Q4) ,鉄ショベル (品質4)
perkUTQI_meleeToolShovelT1IronShovel_q5,Iron Shovel (Q5) ,鉄ショベル (品質5)
perkUTQI_meleeToolShovelT1IronShovel_q6,Iron Shovel (Q6) ,鉄ショベル (品質6)
perkUTQI_meleeToolShovelT2SteelShovel_q2,Steel Shovel (Q2) ,鉄鋼ショベル (品質2)
perkUTQI_meleeToolShovelT2SteelShovel_q3,Steel Shovel (Q3) ,鉄鋼ショベル (品質3)
perkUTQI_meleeToolShovelT2SteelShovel_q4,Steel Shovel (Q4) ,鉄鋼ショベル (品質4)
perkUTQI_meleeToolShovelT2SteelShovel_q5,Steel Shovel (Q5) ,鉄鋼ショベル (品質5)
perkUTQI_meleeToolShovelT2SteelShovel_q6,Steel Shovel (Q6) ,鉄鋼ショベル (品質6)
perkUTQI_meleeWpnBatonT0PipeBaton_q2,Pipe Baton (Q2) ,パイプバトン (品質2)
perkUTQI_meleeWpnBatonT0PipeBaton_q3,Pipe Baton (Q3) ,パイプバトン (品質3)
perkUTQI_meleeWpnBatonT0PipeBaton_q4,Pipe Baton (Q4) ,パイプバトン (品質4)
perkUTQI_meleeWpnBatonT0PipeBaton_q5,Pipe Baton (Q5) ,パイプバトン (品質5)
perkUTQI_meleeWpnBatonT0PipeBaton_q6,Pipe Baton (Q6) ,パイプバトン (品質6)
perkUTQI_meleeWpnBatonT2StunBaton_q2,Stun Baton (Q2) ,スタンバトン (品質2)
perkUTQI_meleeWpnBatonT2StunBaton_q3,Stun Baton (Q3) ,スタンバトン (品質3)
perkUTQI_meleeWpnBatonT2StunBaton_q4,Stun Baton (Q4) ,スタンバトン (品質4)
perkUTQI_meleeWpnBatonT2StunBaton_q5,Stun Baton (Q5) ,スタンバトン (品質5)
perkUTQI_meleeWpnBatonT2StunBaton_q6,Stun Baton (Q6) ,スタンバトン (品質6)
perkUTQI_meleeWpnBladeT0BoneKnife_q2,Bone Knife (Q2) ,骨ナイフ (品質2)
perkUTQI_meleeWpnBladeT0BoneKnife_q3,Bone Knife (Q3) ,骨ナイフ (品質3)
perkUTQI_meleeWpnBladeT0BoneKnife_q4,Bone Knife (Q4) ,骨ナイフ (品質4)
perkUTQI_meleeWpnBladeT0BoneKnife_q5,Bone Knife (Q5) ,骨ナイフ (品質5)
perkUTQI_meleeWpnBladeT0BoneKnife_q6,Bone Knife (Q6) ,骨ナイフ (品質6)
perkUTQI_meleeWpnBladeT1HuntingKnife_q2,Hunting Knife (Q2) ,狩猟ナイフ (品質2)
perkUTQI_meleeWpnBladeT1HuntingKnife_q3,Hunting Knife (Q3) ,狩猟ナイフ (品質3)
perkUTQI_meleeWpnBladeT1HuntingKnife_q4,Hunting Knife (Q4) ,狩猟ナイフ (品質4)
perkUTQI_meleeWpnBladeT1HuntingKnife_q5,Hunting Knife (Q5) ,狩猟ナイフ (品質5)
perkUTQI_meleeWpnBladeT1HuntingKnife_q6,Hunting Knife (Q6) ,狩猟ナイフ (品質6)
perkUTQI_meleeWpnBladeT3Machete_q2,Machete (Q2) ,マチェーテ (品質2)
perkUTQI_meleeWpnBladeT3Machete_q3,Machete (Q3) ,マチェーテ (品質3)
perkUTQI_meleeWpnBladeT3Machete_q4,Machete (Q4) ,マチェーテ (品質4)
perkUTQI_meleeWpnBladeT3Machete_q5,Machete (Q5) ,マチェーテ (品質5)
perkUTQI_meleeWpnBladeT3Machete_q6,Machete (Q6) ,マチェーテ (品質6)
perkUTQI_meleeWpnClubT0WoodenClub_q2,Wooden Club (Q2) ,木製棍棒 (品質2)
perkUTQI_meleeWpnClubT0WoodenClub_q3,Wooden Club (Q3) ,木製棍棒 (品質3)
perkUTQI_meleeWpnClubT0WoodenClub_q4,Wooden Club (Q4) ,木製棍棒 (品質4)
perkUTQI_meleeWpnClubT0WoodenClub_q5,Wooden Club (Q5) ,木製棍棒 (品質5)
perkUTQI_meleeWpnClubT0WoodenClub_q6,Wooden Club (Q6) ,木製棍棒 (品質6)
perkUTQI_meleeWpnClubT1BaseballBat_q2,Baseball Bat (Q2) ,ベースボールバット (品質2)
perkUTQI_meleeWpnClubT1BaseballBat_q3,Baseball Bat (Q3) ,ベースボールバット (品質3)
perkUTQI_meleeWpnClubT1BaseballBat_q4,Baseball Bat (Q4) ,ベースボールバット (品質4)
perkUTQI_meleeWpnClubT1BaseballBat_q5,Baseball Bat (Q5) ,ベースボールバット (品質5)
perkUTQI_meleeWpnClubT1BaseballBat_q6,Baseball Bat (Q6) ,ベースボールバット (品質6)
perkUTQI_meleeWpnClubT3SteelClub_q2,Steel Club (Q2) ,鉄鋼製棍棒 (品質2)
perkUTQI_meleeWpnClubT3SteelClub_q3,Steel Club (Q3) ,鉄鋼製棍棒 (品質3)
perkUTQI_meleeWpnClubT3SteelClub_q4,Steel Club (Q4) ,鉄鋼製棍棒 (品質4)
perkUTQI_meleeWpnClubT3SteelClub_q5,Steel Club (Q5) ,鉄鋼製棍棒 (品質5)
perkUTQI_meleeWpnClubT3SteelClub_q6,Steel Club (Q6) ,鉄鋼製棍棒 (品質6)
perkUTQI_meleeWpnKnucklesT0LeatherKnuckles_q2,Knuckle Wraps (Q2) ,ナックルラップ (品質2)
perkUTQI_meleeWpnKnucklesT0LeatherKnuckles_q3,Knuckle Wraps (Q3) ,ナックルラップ (品質3)
perkUTQI_meleeWpnKnucklesT0LeatherKnuckles_q4,Knuckle Wraps (Q4) ,ナックルラップ (品質4)
perkUTQI_meleeWpnKnucklesT0LeatherKnuckles_q5,Knuckle Wraps (Q5) ,ナックルラップ (品質5)
perkUTQI_meleeWpnKnucklesT0LeatherKnuckles_q6,Knuckle Wraps (Q6) ,ナックルラップ (品質6)
perkUTQI_meleeWpnKnucklesT1IronKnuckles_q2,Iron Knuckles (Q2) ,鉄ナックル (品質2)
perkUTQI_meleeWpnKnucklesT1IronKnuckles_q3,Iron Knuckles (Q3) ,鉄ナックル (品質3)
perkUTQI_meleeWpnKnucklesT1IronKnuckles_q4,Iron Knuckles (Q4) ,鉄ナックル (品質4)
perkUTQI_meleeWpnKnucklesT1IronKnuckles_q5,Iron Knuckles (Q5) ,鉄ナックル (品質5)
perkUTQI_meleeWpnKnucklesT1IronKnuckles_q6,Iron Knuckles (Q6) ,鉄ナックル (品質6)
perkUTQI_meleeWpnKnucklesT3SteelKnuckles_q2,Steel Knuckles (Q2) ,鉄鋼ナックル (品質2)
perkUTQI_meleeWpnKnucklesT3SteelKnuckles_q3,Steel Knuckles (Q3) ,鉄鋼ナックル (品質3)
perkUTQI_meleeWpnKnucklesT3SteelKnuckles_q4,Steel Knuckles (Q4) ,鉄鋼ナックル (品質4)
perkUTQI_meleeWpnKnucklesT3SteelKnuckles_q5,Steel Knuckles (Q5) ,鉄鋼ナックル (品質5)
perkUTQI_meleeWpnKnucklesT3SteelKnuckles_q6,Steel Knuckles (Q6) ,鉄鋼ナックル (品質6)
perkUTQI_meleeWpnSledgeT0StoneSledgehammer_q2,Stone Sledgehammer (Q2) ,石製スレッジハンマー (品質2)
perkUTQI_meleeWpnSledgeT0StoneSledgehammer_q3,Stone Sledgehammer (Q3) ,石製スレッジハンマー (品質3)
perkUTQI_meleeWpnSledgeT0StoneSledgehammer_q4,Stone Sledgehammer (Q4) ,石製スレッジハンマー (品質4)
perkUTQI_meleeWpnSledgeT0StoneSledgehammer_q5,Stone Sledgehammer (Q5) ,石製スレッジハンマー (品質5)
perkUTQI_meleeWpnSledgeT0StoneSledgehammer_q6,Stone Sledgehammer (Q6) ,石製スレッジハンマー (品質6)
perkUTQI_meleeWpnSledgeT1IronSledgehammer_q2,Iron Sledgehammer (Q2) ,鉄製スレッジハンマー (品質2)
perkUTQI_meleeWpnSledgeT1IronSledgehammer_q3,Iron Sledgehammer (Q3) ,鉄製スレッジハンマー (品質3)
perkUTQI_meleeWpnSledgeT1IronSledgehammer_q4,Iron Sledgehammer (Q4) ,鉄製スレッジハンマー (品質4)
perkUTQI_meleeWpnSledgeT1IronSledgehammer_q5,Iron Sledgehammer (Q5) ,鉄製スレッジハンマー (品質5)
perkUTQI_meleeWpnSledgeT1IronSledgehammer_q6,Iron Sledgehammer (Q6) ,鉄製スレッジハンマー (品質6)
perkUTQI_meleeWpnSledgeT3SteelSledgehammer_q2,Steel Sledgehammer (Q2) ,鉄鋼製スレッジハンマー (品質2)
perkUTQI_meleeWpnSledgeT3SteelSledgehammer_q3,Steel Sledgehammer (Q3) ,鉄鋼製スレッジハンマー (品質3)
perkUTQI_meleeWpnSledgeT3SteelSledgehammer_q4,Steel Sledgehammer (Q4) ,鉄鋼製スレッジハンマー (品質4)
perkUTQI_meleeWpnSledgeT3SteelSledgehammer_q5,Steel Sledgehammer (Q5) ,鉄鋼製スレッジハンマー (品質5)
perkUTQI_meleeWpnSledgeT3SteelSledgehammer_q6,Steel Sledgehammer (Q6) ,鉄鋼製スレッジハンマー (品質6)
perkUTQI_meleeWpnSpearT0StoneSpear_q2,Stone Spear (Q2) ,石槍 (品質2)
perkUTQI_meleeWpnSpearT0StoneSpear_q3,Stone Spear (Q3) ,石槍 (品質3)
perkUTQI_meleeWpnSpearT0StoneSpear_q4,Stone Spear (Q4) ,石槍 (品質4)
perkUTQI_meleeWpnSpearT0StoneSpear_q5,Stone Spear (Q5) ,石槍 (品質5)
perkUTQI_meleeWpnSpearT0StoneSpear_q6,Stone Spear (Q6) ,石槍 (品質6)
perkUTQI_meleeWpnSpearT1IronSpear_q2,Iron Spear (Q2) ,鉄槍 (品質2)
perkUTQI_meleeWpnSpearT1IronSpear_q3,Iron Spear (Q3) ,鉄槍 (品質3)
perkUTQI_meleeWpnSpearT1IronSpear_q4,Iron Spear (Q4) ,鉄槍 (品質4)
perkUTQI_meleeWpnSpearT1IronSpear_q5,Iron Spear (Q5) ,鉄槍 (品質5)
perkUTQI_meleeWpnSpearT1IronSpear_q6,Iron Spear (Q6) ,鉄槍 (品質6)
perkUTQI_meleeWpnSpearT3SteelSpear_q2,Steel Spear (Q2) ,鉄鋼槍 (品質2)
perkUTQI_meleeWpnSpearT3SteelSpear_q3,Steel Spear (Q3) ,鉄鋼槍 (品質3)
perkUTQI_meleeWpnSpearT3SteelSpear_q4,Steel Spear (Q4) ,鉄鋼槍 (品質4)
perkUTQI_meleeWpnSpearT3SteelSpear_q5,Steel Spear (Q5) ,鉄鋼槍 (品質5)
perkUTQI_meleeWpnSpearT3SteelSpear_q6,Steel Spear (Q6) ,鉄鋼槍 (品質6)
armorassassinboots,Assassin Boots ,アサシンブーツ
armorassassingloves,Assassin Gloves ,アサシングローブ
armorassassinhelmet,Assassin Hood ,アサシンフード
armorassassinoutfit,Assassin Outfit ,アサシン衣装
armorathleticboots,Athletic Shoes ,アスリートシューズ
armorathleticgloves,Athletic Gloves ,アスリートグローブ
armorathletichelmet,Athletic Hat ,アスリートハット
armorathleticoutfit,Athletic Outfit ,アスリート衣装
armorbikerboots,Biker Boots ,バイカーブーツ
armorbikergloves,Biker Gloves ,バイカーグローブ
armorbikerhelmet,Biker Helmet ,バイカーヘルメット
armorbikeroutfit,Biker Outfit ,バイカー衣装
armorcommandoboots,Commando Boots ,コマンドーブーツ
armorcommandogloves,Commando Gloves ,コマンドーグローブ
armorcommandohelmet,Commando Helmet ,コマンドーヘルメット
armorcommandooutfit,Commando Outfit ,コマンドー衣装
armorenforcerboots,Enforcer Shoes ,執行者靴
armorenforcergloves,Enforcer Gloves ,執行者グローブ
armorenforcerhelmet,Enforcer Sunglasses ,執行者サングラス
armorenforceroutfit,Enforcer Outfit ,執行者衣装
armorfarmerboots,Farmer Boots ,農夫ブーツ
armorfarmergloves,Farmer Gloves ,農夫グローブ
armorfarmerhelmet,Farmer Hat ,農夫ハット
armorfarmeroutfit,Farmer Outfit ,農夫衣装
armorheavymaster,Heavy Armor Master ,重装防具マスター
armorlightmaster,Light Armor Master ,軽装防具マスター
armorlumberjackboots,Lumberjack Boots ,木こりブーツ
armorlumberjackgloves,Lumberjack Gloves ,木こりグローブ
armorlumberjackhelmet,Lumberjack Hat ,木こりハット
armorlumberjackoutfit,Lumberjack Outfit ,木こり衣装
armormediummaster,Medium Armor Master ,中装防具マスター
armorminerboots,Miner Boots ,鉱夫ブーツ
armorminergloves,Miner Gloves ,鉱夫グローブ
armorminerhelmet,Miner Helmet ,鉱夫ヘルメット
armormineroutfit,Miner Outfit ,鉱夫衣装
armornerdboots,Nerd Boots ,オタクブーツ
armornerdgloves,Nerd Gloves ,オタクグローブ
armornerdhelmet,Nerd Goggles ,オタクゴーグル
armornerdoutfit,Nerd Outfit ,オタク衣装
armornomadboots,Nomad Boots ,遊牧民ブーツ
